IDnr	Word	Length	LemmaFreq	WordFreq
805	πιπί	4	0	0.2
806	πίσω	4	258	256.5
807	πίτα	4	9	5.2
808	πλαζ	4	2	2.2
809	πλάι	4	34	26.4
810	πλέω	4	6	0.1
811	πλην	4	59	58.9
812	πνέω	4	5	0
813	πνοή	4	11	8.4
814	πόδι	4	93	31.3
815	πόζα	4	3	1.3
816	ποθώ	4	2	0.1
817	ποιώ	4	2	0.1
818	πόκα	4	0	0.1
819	πόλη	4	321	137.3
820	πόλο	4	14	14
821	πολύ	4	1713	1342.4
822	ποπό	4	0	0.3
823	πόση	4	9	8.6
824	ποσό	4	285	113.7
825	πόσο	4	155	154.9
826	ποτέ	4	296	296.8
827	πότε	4	104	104.3
828	ποτό	4	22	6
829	πουά	4	1	0.8
830	πουφ	4	0	0.2
831	πριμ	4	13	12.9
832	πριν	4	693	692.9
833	προς	4	1281	1279.9
834	πρωί	4	146	145.5
835	πτοώ	4	4	
836	πτύο	4	0	
837	πτύω	4	0	
838	πύλη	4	23	11.1
839	πυρά	4	18	14.7
840	πύρα	4	2	
841	πωλώ	4	74	0
842	πώμα	4	2	1.2
843	ραβί	4	0	0.2
844	ράβω	4	6	0.1
845	ράγα	4	2	
846	ράδα	4	0	0.1
847	ράιχ	4	3	2.5
848	ρακή	4	0	0.1
849	ρακί	4	1	0.9
850	ράλι	4	4	3.9
851	ραμί	4	0	0.1
852	ράσο	4	2	1
853	ραφή	4	5	2.3
854	ράφι	4	9	3.7
855	ράχη	4	4	2.9
856	ρέλι	4	0	
857	ρέμα	4	11	3.8
858	ρεπό	4	5	4.9
859	ρέπω	4	1	0
860	ρεύω	4	0	
861	ρέων	4	1	0
862	ρήμα	4	6	3.5
863	ρήξη	4	18	11.1
864	ρήση	4	7	5.6
865	ρητό	4	20	2.5
866	ρίγα	4	2	1.1
867	ριγέ	4	1	0.7
868	ριγώ	4	1	0.1
869	ριζά	4	0	0.5
870	ρίζα	4	29	8.4
871	ρίμα	4	1	0.2
872	ρίνα	4	0	0.1
873	ριπή	4	3	1.3
874	ρίφι	4	0	0
875	ρίψη	4	5	2.7
876	ρόγα	4	0	0.1
877	ρόδα	4	4	2
878	ρόδι	4	1	0.7
879	ρόδο	4	31	14.4
880	ροζέ	4	2	1.7
881	ρόκα	4	1	0.4
882	ρολό	4	3	0.9
883	ροπή	4	13	8
884	ρότα	4	3	3
885	ρουζ	4	1	0.5
886	ρους	4	2	0.4
887	ρύζι	4	5	3.1
888	ρύμη	4	1	0.6
889	ρύση	4	0	0.2
890	ρώγα	4	1	0.3
891	ρώμη	4	43	29.4
892	ρωτώ	4	200	5.5
893	σάκα	4	0	0.3
894	σακί	4	2	1.2
895	σάλα	4	4	2.1
896	σαλέ	4	1	0.5
897	σάλι	4	2	1.6
898	σανό	4	0	0.2
899	σάρα	4	4	3.1
900	σαρξ	4	1	0.3
901	σασί	4	1	0.7
902	σείω	4	2	
903	σέλα	4	6	4.1
904	σέξι	4	2	2.3
905	σέρα	4	1	1.3
906	σερί	4	10	9.9
907	σήμα	4	50	25.8
908	σήτα	4	0	0.1
909	σήψη	4	2	1
910	σιγά	4	72	72.5
911	σιγή	4	5	4.2
912	σιγώ	4	1	
913	σιέλ	4	0	0.2
914	σικέ	4	0	0.4
915	σιλό	4	0	0.3
916	σιμά	4	0	0.2
917	σινί	4	0	0.1
918	σκιά	4	28	18.3
919	σκορ	4	62	61.6
920	σόδα	4	1	0.4
921	σόλα	4	1	0.2
922	σόλο	4	3	2.9
923	σόου	4	11	11.2
924	σοτέ	4	1	0.5
925	σουτ	4	52	51.5
926	σπάω	4	65	0.3
927	σπορ	4	18	18.2
928	σποτ	4	4	4.4
929	σταρ	4	31	31
930	στιλ	4	18	18
931	στοά	4	9	5.3
932	στοκ	4	1	1.1
933	στοπ	4	2	2
934	στορ	4	0	0.2
935	συζώ	4	1	
936	συκή	4	1	0
937	σύκο	4	2	0.2
938	συλώ	4	1	
939	σύρω	4	13	0.1
940	σώζω	4	59	0.1
941	σώμα	4	213	121.3
942	σώνω	4	46	
943	σώος	4	2	0.4
944	ταγή	4	0	0
945	τάδε	4	11	11.3
946	τάζω	4	59	0
947	τακτ	4	1	0.7
948	ταλκ	4	0	0.1
949	τάμα	4	2	1.3
950	τάξη	4	265	74.2
